time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
3770.057447015837,31417.14539179864,8.33333333333334,544983.2855120709,8212.768926695,0.0,-5685.401888205304,0.7105286126167278,0.00013541666666666658,68937.11870409134,5.290634879611557,0.8962845673213992,10648.03078056168,214.12710705262467
3840.0,32000.0,8.333333333333341,560039.4063896079,8226.471545355103,0.0,-5706.353811208536,0.72,0.00013541666666666666,68886.93249122369,4.931219451334023,0.9157006517585031,10639.195947006308,216.42809923352345
3840.0,32000.0,0.16224712953739762,560039.4063896079,8226.471545355103,0.0,-4514.462616976205,0.72,3.602609977835124e-20,68886.93249122369,4.931219451334023,0.724336195482008,8261.173140973664,216.42809923352345
4354.137590381627,32083.417348226692,0.16224712953739998,671292.8391115473,8194.618142677049,0.0,-4495.592548456729,0.7200000000000002,1.0874332500884615e-19,68595.09600857459,4.932507766498016,0.7242846708128663,8229.185392971347,216.34879352671084
5063.542528141899,32198.516263057947,0.1622471295373959,824732.9105786206,8150.867221197177,0.0,-4469.651677071326,0.72,1.907358332912847e-20,68194.42430046434,4.933891071923943,0.7242292615629362,8185.249957926578,216.23932112574042
5288.066765436271,32234.944676070543,0.16224712953739534,873279.9871748084,8137.068397397166,0.0,-4461.464546547753,0.72,4.0957578429516914e-21,68068.09557040708,4.934232909093211,0.7242155392923123,8171.3929423870195,216.20466218867844
5288.066765436271,32234.944676070543,0.16224712953739534,873279.9871748084,8137.068397397166,0.0,-4461.464546547753,0.72,4.0957578429516914e-21,68068.09557040708,4.934232909093211,0.7242155392923123,8171.3929423870195,216.20466218867844
6338.08185960853,32405.306611070922,0.16224712953739615,1100213.0157127443,8072.843135958791,0.0,-4423.322937749231,0.72,3.2230046119487645e-20,67480.37095979774,4.9352116986203,0.7241759957246844,8106.896851532785,216.0425032260492
7786.888378454416,32640.371310008733,0.16224712953739673,1413054.597639449,7985.051426058826,0.0,-4371.089040572841,0.7200000000000001,1.512535713559433e-20,66677.68311924057,4.93485779985908,0.7241891563917346,8018.734983406686,215.81856126335057
8245.43068809494,32714.76848351936,0.16224712953739473,1512000.2765948644,7957.464319684321,0.0,-4354.651631942007,0.7200000000000001,-3.8014957210673265e-21,66425.61691918805,4.934326703265974,0.7242099773664905,7991.0315719525515,215.74763702220866
8245.43068809494,32714.76848351936,0.16224712953739473,1512000.2765948644,7957.464319684321,0.0,-4354.651631942007,0.7200000000000001,-3.8014957210673265e-21,66425.61691918805,4.934326703265974,0.7242099773664905,7991.0315719525515,215.74763702220866
9493.794745854899,32917.31196850858,0.1622471295373944,1781211.2881516272,7882.841281653829,0.0,-4310.129763189253,0.7200000000000003,-2.2485156635541e-20,65744.17421154822,4.931840326726457,0.7243080404085928,7916.09395453664,215.55443277847965
11216.282350855763,33196.7806380837,0.16224712953739429,2152271.331073921,7781.026103991511,0.0,-4249.241567258661,0.72,-3.7223235729568614e-20,64815.36632670245,4.925862332297851,0.7245447224523934,7813.849632385105,215.28757184951039
11761.443788528924,33285.23151648065,0.16224712953739284,2269614.7709661224,7749.076025937993,0.0,-4230.099647022838,0.7200000000000001,-6.038298761371757e-20,64524.147091534855,4.9233453412864385,0.7246444894597392,7781.764910883004,215.20304382561088
11761.443788528924,33285.23151648065,0.16224712953739284,2269614.7709661224,7749.076025937993,0.0,-4230.099647022838,0.7200000000000001,-6.038298761371757e-20,64524.147091534855,4.9233453412864385,0.7246444894597392,7781.764910883004,215.20304382561088
12811.458882701183,33455.593451481036,0.1622471295373933,2495495.6972857825,7687.906954771463,0.0,-4193.404043704573,0.72,-3.0263409211499035e-20,63966.93617579199,4.917635210279068,0.7248709885976057,7720.338097188784,215.04014594527843
14260.26540154707,33690.65815041884,0.1622471295373935,2806884.317234823,7604.299743733116,0.0,-4143.142488042546,0.7199999999999999,3.0288699949729376e-21,63206.03881112635,4.907859222468334,0.7252592411813095,7636.378671680832,214.81518167649784
14718.807711187594,33765.05532392946,0.1622471295373973,2905369.8298626174,7578.0292793991985,0.0,-4127.323800435465,0.7199999999999999,8.244742366677244e-20,62967.12441888037,4.904298862154832,0.7254007814350949,7609.997554273729,214.74393321216584
14718.807711187594,33765.05532392946,0.1622471295373973,2905369.8298626174,7578.0292793991985,0.0,-4127.323800435465,0.7199999999999999,8.244742366677244e-20,62967.12441888037,4.904298862154832,0.7254007814350949,7609.997554273729,214.74393321216584
15232.94530156922,33848.47267215616,0.16224712953739298,3015757.2130554183,7548.6825092463005,0.0,-4109.637732012285,0.72,-1.996745581526529e-20,62700.32850594347,4.900036411891767,0.7255703288049942,7580.527183020474,214.66401881514506
15942.350239329493,33963.57158698741,0.1622471295373926,3168001.7987709516,7508.378400861844,0.0,-4085.321895023498,0.7199999999999999,1.086397539307575e-20,62334.08209704462,4.893681127914192,0.725823313943187,7540.0533402809015,214.55370543704703
16166.874476623865,34000.0,0.16224712953739495,3216170.383872221,7495.66772637229,0.0,-4077.647033929282,0.72,3.602609977835124e-20,62218.61864660042,4.891554230859664,0.7259080300370757,7527.289140650354,214.5187800652524
16166.874476623865,34000.0,-18.264993711336086,3216170.383872221,7495.66772637229,0.0,-2059.1334092054303,0.72,-0.00019628052943525308,62218.61864660042,4.891554230859664,0.335567104863699,3117.9000513800493,214.5187800652524
16243.372755510756,32602.759417202917,-18.26499371133608,3232454.444994892,7496.270859767944,0.0,-2061.2689614145406,0.7049848773191956,-0.00019628052943525273,62198.75814869592,5.898541535767543,0.313828389345111,3061.5040410666056,211.35290812525812
16348.924766855114,30674.85259377933,-18.264993711336093,3254520.380333409,7504.395352542854,0.0,-2058.0845020949787,0.684267072649569,-0.00019628052943525338,62171.35794936705,7.237893494284121,0.2879127871605513,2986.56373296541,206.8806790554273
16382.331617555648,30064.676675818537,-18.26499371133611,3261405.0720111136,7508.975492904916,0.0,-2055.7582952824796,0.6777099583073037,-0.0001962805294352535,62162.700064350334,7.645675045585262,0.2806046709162919,2963.723203469226,205.44035420521385
16382.331617555648,30064.676675818537,-18.26499371133611,3261405.0720111136,7508.975492904916,0.0,-2055.7582952824796,0.6777099583073037,-0.0001962805294352535,62162.700064350334,7.645675045585262,0.2806046709162919,2963.723203469226,205.44035420521385
16538.56284633978,27211.11426456206,-18.264993711336093,3292954.1887620734,7534.2798339328265,0.0,-2058.9410513417615,0.6470448100072342,-0.00019628052943525335,62122.19152985852,9.881511875603483,0.24640256719731976,2852.9724219324476,198.54796476942107
16754.130054817088,23273.780557353733,-18.2649937113361,3334676.0456419704,7562.1785778058065,0.0,-2053.313940947913,0.6047331641984284,-0.00019628052943525352,62066.31873213427,13.032344925651648,0.202578803069061,2669.3099588980776,188.62062791374956
16822.356339260292,22027.627901050808,-18.2649937113361,3347428.9301397116,7565.812935239497,0.0,-2044.7054433724115,0.5913416729665163,-0.00019628052943525368,62048.68491568743,14.086227465094057,0.18989761623578197,2599.4157501620407,185.3797590457909
16822.356339260292,22027.627901050808,-18.2649937113361,3347428.9301397116,7565.812935239497,0.0,-2044.7054433724115,0.5913416729665163,-0.00019628052943525368,62048.68491568743,14.086227465094057,0.18989761623578197,2599.4157501620407,185.3797590457909
17008.0998126601,18635.024527481582,-18.26499371133611,3381009.9779834463,7569.3986795714945,0.0,-2006.2661764770444,0.554883845668459,-0.0001962805294352538,62001.22944118069,17.00233409186836,0.1587244924846113,2384.2023208212618,176.32034565941902
17264.387895172724,13953.924312098105,-18.2649937113361,3424515.986424694,7551.162724505425,0.0,-1909.0692489694602,0.5045794851449349,-0.00019628052943525387,61937.8751205025,21.2305930562283,0.12167119094370742,2010.5975940315918,163.26330289389372
17345.502197020494,12472.372098949196,-18.26499371133611,3437578.551535888,7526.493752905236,0.0,-1852.8138380890475,0.48865832703348394,-0.00019628052943525403,61918.5713390169,22.671196314178367,0.11058498316264997,1857.8509940112842,158.998851738275
17345.502197020494,12472.372098949196,-18.26499371133611,3437578.551535888,7526.493752905236,0.0,-1852.8138380890475,0.48865832703348394,-0.00019628052943525403,61918.5713390169,22.671196314178367,0.11058498316264997,1857.8509940112842,158.998851738275
17501.733425804625,9618.809687692725,-18.264993711336114,3461751.137660088,7450.494301863493,0.0,-1708.5549811720941,0.45799317873341433,-0.0001962805294352539,61883.61242006328,25.289787802602515,0.09039986523334712,1509.5015620029733,150.60981861944137
17717.300634281935,5681.475980484389,-18.2649937113361,3492914.493064092,7302.59655300161,0.0,-1603.0920229463525,0.4156815329246083,-0.00019628052943525368,61838.88420558153,29.09109023114149,0.04652391850727615,918.7530006246029,138.66141565826337
17785.526918725136,4435.323324181462,-18.264993711336093,3502235.279248695,7251.514164020301,0.0,-1586.8284029442598,0.4022900416926962,-0.0001962805294352534,61825.15751774933,30.201118532457762,0.03405791442964973,707.9037837693859,134.79094549067395
17785.526918725136,4435.323324181462,-18.264993711336093,3502235.279248695,7251.514164020301,0.0,-1586.8284029442598,0.4022900416926962,-0.0001962805294352534,61825.15751774933,30.201118532457762,0.03405791442964973,707.9037837693859,134.79094549067395
17862.025197612027,3038.0827413843745,-18.264993711336103,3512370.0406736312,7198.689781478352,0.0,-1586.935101179267,0.38727491901189176,-0.00019628052943525373,61809.8718117324,31.49711709462832,0.020973225727409707,462.7177573737268,130.40117072492166
17967.577208956383,1110.1759179607957,-18.264993711336103,3525797.9441399463,7143.011174729395,0.0,-1606.7987363540556,0.36655711434226523,-0.00019628052943525376,61788.65989060248,33.11408098550995,0.004838730711844667,115.62416842040804,124.257649356042
18000.98405965692,500.0,-18.264993711336093,3529912.0,7126.627037108843,0.0,-1618.3468237326724,0.36,-0.00019628052943525343,61781.874113349826,33.61300006984345,-1.447424095862718e-11,-3.5477946611519264e-07,122.29253366343002
