time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,8.33333333333334,1.0,9447.994071259389,0.0,-4451.857076005448,0.2,0.00013541666666666666,52527.632581188824,15.176093101859216,0.4412194693003244,14314.102969056687,68.05737270077049
160.16130859524844,1334.6775716270718,8.33333333333334,11458.100687894435,8039.754100634341,0.0,-4076.3252133521523,0.22168851053893995,0.0001354166666666668,52441.770282536585,16.62464472342723,0.40880597789795453,12491.253694552435,75.0907938870504
381.1512250712649,3176.2602089272095,8.333333333333337,29105.601822852215,6778.795800001273,0.0,-3740.7352375037594,0.25161422839506714,0.0001354166666666667,52333.43137395588,18.101939765813583,0.38186074768415434,10775.65634948743,84.68111157286279
451.0937780554277,3759.1148171285663,8.333333333333336,35131.05369015314,6495.154345937443,0.0,-3662.0923025194024,0.2610856157783392,0.00013541666666666666,52300.754961587954,18.450348276462623,0.3766434507248848,10369.804873017965,87.68854069539462
451.0937780554277,3759.1148171285663,8.333333333333336,35131.05369015314,6495.154345937443,0.0,-3662.0923025194024,0.2610856157783392,0.00013541666666666666,52300.754961587954,18.450348276462623,0.3766434507248848,10369.804873017965,87.68854069539462
778.1886932561695,6484.905777134748,8.333333333333336,66081.48577384559,5646.3758433212215,0.0,-3430.4030229613436,0.3053797188784396,0.0001354166666666667,52155.001037556205,19.52934768158124,0.36621359067724163,9049.765788055009,101.57433671224162
1229.5129152167665,10245.940960139722,8.333333333333334,116145.54387653201,5236.763155027493,0.0,-3301.231691455989,0.36649654060227044,0.0001354166666666667,51964.64770588344,19.93126741425131,0.37241922477067974,8175.785716881504,120.24308113524813
1372.3554883571612,11436.295736309681,8.333333333333332,133731.83144574403,5201.378079732993,0.0,-3270.8330062143336,0.38583980571503235,0.00013541666666666663,51905.21951217406,19.55848800806548,0.36021129666337776,8023.735478705415,126.03147997598322
1372.3554883571612,11436.295736309681,8.333333333333332,133731.83144574403,5201.378079732993,0.0,-3270.8330062143336,0.38583980571503235,0.00013541666666666663,51905.21951217406,19.55848800806548,0.36021129666337776,8023.735478705415,126.03147997598322
1761.2389795364406,14676.991496137009,8.333333333333334,185754.66047663198,5147.903052109664,0.0,-3193.145253208251,0.43850111181222645,0.0001354166666666667,51747.22661802793,18.384869141293528,0.31271697020900335,7704.179557341596,141.4927097008589
2297.818825120695,19148.49020933912,8.333333333333329,267231.5560158624,5205.728596022705,0.0,-3234.609126276821,0.5111629659017608,0.00013541666666666658,51530.914252198076,15.676597408836637,0.3887955028041251,7483.35248685387,162.09903383098683
2467.6445116428386,20563.704263690324,8.33333333333333,295296.88447358325,5250.814465292739,0.0,-3253.9504541901224,0.5341601942849677,0.00013541666666666658,51461.207294374304,14.719380149632924,0.42229832904099956,7455.627063363614,168.44210711069562
2467.6445116428386,20563.704263690324,8.33333333333333,295296.88447358325,5250.814465292739,0.0,-3253.9504541901224,0.5341601942849677,0.00013541666666666658,51461.207294374304,14.719380149632924,0.42229832904099956,7455.627063363614,168.44210711069562
2794.7394268435805,23289.495223696504,8.333333333333332,352354.10752843297,5360.92796171899,0.0,-3315.6241804352967,0.5784542973850682,0.0001354166666666666,51325.81820621861,12.808653477778684,0.4949368150242267,7441.332280257564,180.41248453081272
3246.063648804178,27050.530406701477,8.333333333333334,437399.47795722843,5496.745081101574,0.0,-3394.8535634524296,0.639571119108899,0.0001354166666666666,51134.98729945537,10.112799170293451,0.610968762558223,7432.795799744437,196.38747814768624
3388.9062219445723,28240.885182871432,8.33333333333334,465802.16336695163,5533.289504587651,0.0,-3416.3210178220575,0.6589143842216607,0.00013541666666666682,51073.67327381803,9.259764318362963,0.6516631783173996,7429.0070268654545,201.3103653791
3388.9062219445723,28240.885182871432,8.33333333333334,465802.16336695163,5533.289504587651,0.0,-3416.3210178220575,0.6589143842216607,0.00013541666666666682,51073.67327381803,9.259764318362963,0.6516631783173996,7429.0070268654545,201.3103653791
3549.067530539821,29575.562754498504,8.333333333333336,498478.6890279089,5568.215004149244,0.0,-3437.5577626538693,0.6806028947606007,0.0001354166666666666,51004.523464701466,8.24472862962872,0.7025640090385452,7421.318700920281,206.75274127059586
3770.057447015837,31417.14539179864,8.33333333333334,544983.285512071,5614.318679143696,0.0,-3472.5010677139967,0.7105286126167278,0.00013541666666666658,50908.33590141656,6.985278012203211,0.7717732799121231,7412.698573539071,214.12710705262467
